N              T[ms]          Stdev[ms]      Samples        
1000           8.86098e-05    3.51921e-06    50             
1500           9.49194e-05    3.45339e-06    50             
2000           0.000102599    1.46441e-05    50             
2500           0.000103995    5.67488e-06    50             
3000           0.00011117     1.36817e-05    50             
3500           0.000114458    2.36399e-05    50             
4000           0.000115561    1.87213e-05    50             
4500           0.000124563    3.19787e-05    50             
5000           0.000117613    1.23261e-05    50             
10000          0.000120381    5.15185e-06    50             
12000          0.000119748    4.6658e-06     50             
14000          0.00012153     4.18014e-06    50             
16000          0.000124258    4.51982e-06    50             
18000          0.000125555    4.21434e-06    50             
20000          0.000125689    4.30614e-06    50             
30000          0.000132731    5.6993e-06     50             
35000          0.000133722    4.54022e-06    50             
40000          0.000135963    5.26514e-06    50             
45000          0.000144219    6.50735e-06    50             
50000          0.000142235    5.93431e-06    50             
