N              T[ms]          Stdev[ms]      Samples        
1000           7.3226e-06     4.68365e-07    50             
1500           7.87805e-06    3.35606e-07    50             
2000           8.68221e-06    3.70493e-07    50             
2500           8.93112e-06    4.02902e-07    50             
3000           8.79124e-06    3.87107e-07    50             
3500           8.75461e-06    3.79658e-07    50             
4000           9.69028e-06    3.63204e-07    50             
4500           1.03021e-05    3.93411e-07    50             
5000           1.04312e-05    4.14736e-07    50             
10000          1.15285e-05    4.12477e-07    50             
12000          1.16849e-05    4.33668e-07    50             
14000          1.17358e-05    4.33098e-07    50             
16000          1.14686e-05    4.34197e-07    50             
18000          2.751e-05      1.82136e-05    50             
20000          4.77073e-05    0.000182302    50             
30000          1.33191e-05    5.10577e-07    50             
35000          8.1407e-05     0.000446868    50             
40000          0.000112764    0.000491692    50             
45000          4.79421e-05    0.000172675    50             
50000          5.74842e-05    0.000300403    50             
