N              T[ms]          Stdev[ms]      Samples        
1000           2.54331e-06    4.05801e-07    20             
1500           2.74945e-06    3.54035e-07    20             
2000           2.78891e-06    2.68242e-07    20             
2500           2.72428e-06    3.59739e-07    20             
3000           2.55575e-06    2.6909e-07     20             
3500           2.69521e-06    2.85707e-07    20             
4000           2.54331e-06    2.81837e-07    20             
4500           2.51224e-06    3.33343e-07    20             
5000           2.63901e-06    3.01991e-07    20             
10000          2.73267e-06    2.78927e-07    20             
12000          2.44351e-06    2.91336e-07    20             
14000          2.51214e-06    2.36778e-07    20             
16000          2.59326e-06    3.36532e-07    20             
18000          2.48707e-06    2.14931e-07    20             
20000          2.65779e-06    2.22034e-07    20             
30000          2.27897e-06    1.77586e-07    20             
35000          2.59746e-06    2.30698e-07    20             
40000          2.51399e-06    2.22578e-07    20             
45000          2.56624e-06    2.30022e-07    20             
50000          2.67013e-06    2.27613e-07    20             
