N              T[ms]          Stdev[ms]      Samples        
1000           0.000117354    0.000226324    50             
1500           0.000138082    0.000104677    50             
2000           0.000134373    6.11298e-05    50             
2500           0.00014155     3.09251e-05    50             
3000           0.000193356    7.67731e-05    50             
3500           0.000319423    0.000124476    50             
4000           0.000277227    0.000155704    50             
4500           0.000330739    0.000156268    50             
5000           0.000253378    0.000106641    50             
10000          0.000439342    9.17308e-05    50             
12000          0.000618879    0.000233648    50             
14000          0.000679952    0.000346406    50             
16000          0.000909442    0.000328662    50             
18000          0.000826598    0.000267833    50             
20000          0.0010828      0.000622179    50             
30000          0.00225147     0.00228693     50             
35000          0.00214164     0.00151902     50             
40000          0.00308612     0.00306002     50             
45000          0.00249645     0.00096306     50             
50000          0.00333528     0.00343244     50             
